timestamp,systolic_blood_pressure,diastolic_blood_pressure,pulse_rate
2024-07-05 10:44:33,72.0,45.0,197
2024-07-05 10:44:34,71.0,45.0,197
2024-07-05 10:44:35,72.0,45.0,199
2024-07-05 10:44:36,72.0,46.0,198
2024-07-05 10:44:37,72.0,46.0,198
2024-07-05 10:44:38,73.0,46.0,197
2024-07-05 10:44:39,74.0,47.0,197
2024-07-05 10:44:40,73.0,47.0,197
2024-07-05 10:44:41,73.0,46.0,197
2024-07-05 10:44:42,73.0,46.0,197
2024-07-05 10:44:43,73.0,46.0,197
2024-07-05 10:44:44,73.0,47.0,197
2024-07-05 10:44:45,73.0,47.0,197
2024-07-05 10:44:46,73.0,47.0,197
2024-07-05 10:44:47,73.0,46.0,197
2024-07-05 10:44:48,73.0,46.0,197
2024-07-05 10:44:49,73.0,46.0,197
2024-07-05 10:44:50,73.0,46.0,197
2024-07-05 10:44:51,72.0,46.0,197
2024-07-05 10:44:52,72.0,46.0,196
2024-07-05 10:44:53,72.0,46.0,197
2024-07-05 10:44:54,72.0,46.0,197
2024-07-05 10:44:55,72.0,46.0,194
2024-07-05 10:44:56,72.0,45.0,194
2024-07-05 10:44:57,72.0,45.0,197
2024-07-05 10:44:58,71.0,45.0,197
2024-07-05 10:44:59,70.0,44.0,194
2024-07-05 10:45:00,70.0,45.0,194
2024-07-05 10:45:01,71.0,45.0,194
2024-07-05 10:45:02,71.0,45.0,194
2024-07-05 10:45:03,71.0,45.0,194
2024-07-05 10:45:04,71.0,45.0,196
2024-07-05 10:45:05,71.0,45.0,196
2024-07-05 10:45:06,71.0,45.0,193
2024-07-05 10:45:07,71.0,44.0,192
2024-07-05 10:45:08,70.0,45.0,192
2024-07-05 10:45:09,70.0,45.0,192
2024-07-05 10:45:10,70.0,45.0,192
2024-07-05 10:45:11,70.0,45.0,192
2024-07-05 10:45:12,71.0,45.0,192
2024-07-05 10:45:13,72.0,46.0,192
2024-07-05 10:45:14,72.0,46.0,192
2024-07-05 10:45:15,71.0,46.0,192
2024-07-05 10:45:16,71.0,45.0,192
2024-07-05 10:45:17,70.0,45.0,192
2024-07-05 10:45:18,70.0,45.0,193
2024-07-05 10:45:19,71.0,45.0,192
2024-07-05 10:45:20,72.0,46.0,192
2024-07-05 10:45:21,73.0,47.0,193
2024-07-05 10:45:22,72.0,46.0,194
2024-07-05 10:45:23,72.0,46.0,192
2024-07-05 10:45:24,72.0,46.0,192
2024-07-05 10:45:25,72.0,46.0,192
2024-07-05 10:45:26,73.0,47.0,192
2024-07-05 10:45:27,74.0,48.0,193
2024-07-05 10:45:28,74.0,48.0,193
2024-07-05 10:45:29,74.0,48.0,193
2024-07-05 10:45:30,75.0,48.0,193
2024-07-05 10:45:31,76.0,49.0,193
2024-07-05 10:45:32,78.0,51.0,194
2024-07-05 10:45:33,79.0,52.0,196
2024-07-05 10:45:34,80.0,52.0,197
2024-07-05 10:45:35,81.0,52.0,196
2024-07-05 10:45:36,81.0,53.0,197
2024-07-05 10:45:37,83.0,54.0,197
2024-07-05 10:45:38,83.0,55.0,197
2024-07-05 10:45:39,83.0,54.0,197
2024-07-05 10:45:40,83.0,54.0,197
2024-07-05 10:45:41,84.0,55.0,197
